ID;Nome;Sobrenome;Cidade;Estado;Data_Nascimento;Setor;Estado_Civil;Salario;Prox.Nome;Prox.Sobrenome;Prox.Cidade;Prox.Estado;Prox.Data_Nascimento;Prox.Setor;Prox.Estado_Civil;Prox.Salario
211;Gary;Olsen;Carapicuíba;SP;05/05/37;Marketing;Viúvo;R$9,093;0;0;754;748;0;747;751;0
212;Clinton;Taylor;Rio Verde;GO;04/05/13;Serviço ao Cliente;Solteiro;R$5,919;419;0;704;365;0;355;355;844
213;Quinn;Garrison;Olinda;Pernambuco;12/06/07;Relações Públicas;Divorciado;R$7,213;417;0;285;279;0;293;279;0
214;Jaime;Sheppard;Maranguape;CE;27/05/84;Suporte Técnico;Casado;R$5,853;0;0;936;985;0;830;835;0
215;Lesley;Barber;Diadema;São Paulo;29/04/95;Suporte Técnico;Divorciado;R$7,386;0;0;0;981;0;987;985;0
216;Bernard;Hardin;Campinas;São Paulo;11/01/44;Pesquisa e Desenvolvimento;Solteiro;R$7,497;999;854;40;55;0;44;39;0
217;Kenyon;Preston;Novo Hamburgo;Rio Grande do Sul;09/08/57;Recursos Humanos;Casado;R$8,704;941;720;757;606;0;618;594;0
218;Miriam;Fisher;Ponta Grossa;Paraná;01/02/76;Vendas;Viúvo;R$8,922;461;0;651;155;0;135;134;0
219;Hadassah;Ratliff;Ribeirão das Neves;MG;21/06/39;Jurídico;Casado;R$9,199;737;0;115;101;0;110;99;196
220;Bernard;Mccall;Nova Iguaçu;Rio de Janeiro;16/12/31;Marketing;Solteiro;R$8,427;0;0;0;0;0;0;0;0
221;Elton;Vinson;Recife;PE;03/10/73;Vendas;Viúvo;R$6,977;423;0;408;256;0;259;246;0
222;Rhona;Casey;Chapecó;SC;03/01/96;Jurídico;Solteiro;R$7,245;0;0;0;770;0;779;766;0
223;Darius;Sellers;Sobral;Ceará;05/06/04;Suporte Técnico;Viúvo;R$7,044;0;0;166;181;0;23;25;0
224;Marah;Gill;Porto Alegre;RS;30/07/74;Serviço ao Cliente;Casado;R$9,837;0;0;955;960;0;916;914;0
225;Boris;Lang;Contagem;MG;23/05/19;Pesquisa e Desenvolvimento;Solteiro;R$9,992;776;0;733;717;0;712;711;0
226;Yolanda;Albert;Caucaia;Ceará;01/01/70;Suporte Técnico;Divorciado;R$6,778;90;0;289;14;0;22;8;0
227;Acton;Mcdonald;Jundiaí;SP;28/01/88;Relações Públicas;Divorciado;R$8,331;0;0;809;803;0;814;800;0
228;Elizabeth;Pennington;Guarulhos;SP;25/03/39;Jurídico;Solteiro;R$7,267;0;0;0;989;0;967;978;0
229;Stephanie;Fletcher;Rio Verde;Goiás;16/07/91;Financeiro;Casado;R$9,131;0;0;876;870;0;736;743;0
230;Yasir;Newman;Rio de Janeiro;RJ;06/05/35;Relações Públicas;Divorciado;R$8,402;340;0;206;162;0;177;162;0
231;Whoopi;Craig;Duque de Caxias;Rio de Janeiro;04/06/59;Vendas;Viúvo;R$8,279;590;590;590;499;590;494;491;590
232;Gillian;Hebert;Maranguape;CE;06/02/40;Relações Públicas;Casado;R$5,155;565;565;565;479;565;505;466;565
233;Genevieve;Andrews;Osasco;São Paulo;30/12/65;Pesquisa e Desenvolvimento;Casado;R$5,755;513;513;466;420;513;418;418;513
234;Emma;Simmons;Balsas;MA;27/08/59;Suporte Técnico;Divorciado;R$9,762;255;0;319;114;0;116;103;0
235;Kylan;Gonzales;Sete Lagoas;Minas Gerais;12/02/04;Gerenciamento;Divorciado;R$6,277;0;0;957;945;0;942;941;0
236;Noble;Bradford;São Gonçalo;Rio de Janeiro;24/05/08;Gerenciamento;Viúvo;R$6,314;574;574;574;490;574;478;476;574
237;Nicole;Patton;Diadema;São Paulo;29/07/57;Gerenciamento;Casado;R$5,158;0;0;174;168;0;165;166;0
238;Freya;Jackson;Juazeiro do Norte;CE;13/03/10;Vendas;Solteiro;R$6,297;0;0;639;236;0;240;235;0
239;Hayden;Nicholson;Guarulhos;SP;21/07/34;Financeiro;Divorciado;R$6,827;0;0;844;826;0;842;834;0
240;Ryder;Calhoun;Rio de Janeiro;RJ;05/07/15;Gerenciamento;Viúvo;R$5,766;0;0;220;209;0;212;207;0
241;Ross;English;Crato;CE;25/04/14;Suporte Técnico;Divorciado;R$9,463;0;838;891;737;0;717;695;0
242;Trevor;Tyler;Castanhal;PA;20/08/48;Vendas;Solteiro;R$7,099;920;0;0;938;0;696;680;0
243;Pandora;Barron;Recife;Pernambuco;18/06/18;Pesquisa e Desenvolvimento;Divorciado;R$5,794;508;508;508;433;508;413;409;508
244;Samuel;Conner;Osasco;São Paulo;23/10/38;Serviço ao Cliente;Divorciado;R$7,681;0;0;791;781;0;777;769;0
245;Alec;Hooper;Osasco;São Paulo;08/11/41;Marketing;Solteiro;R$9,177;422;626;378;363;0;363;363;0
246;Carson;Reynolds;Rio de Janeiro;Rio de Janeiro;10/09/69;Financeiro;Solteiro;R$6,704;0;0;0;999;0;984;986;0
247;Isaiah;Boyer;Camaçari;Bahia;18/12/85;Relações Públicas;Viúvo;R$8,400;507;507;422;428;507;420;411;507
248;Lael;Potter;Vitória da Conquista;Bahia;10/09/07;Serviço ao Cliente;Casado;R$7,650;0;340;136;105;0;105;83;0
249;Octavia;Christian;Itabuna;BA;29/05/84;Relações Públicas;Solteiro;R$7,584;0;0;199;170;0;153;164;0
250;Lacey;Phillips;Paulista;PE;25/04/70;Jurídico;Casado;R$9,973;0;0;533;539;0;509;510;0
251;Matthew;Fuentes;Cametá;PA;24/04/67;Serviço ao Cliente;Viúvo;R$8,628;536;536;536;453;536;443;441;536
252;Zane;Mason;Diadema;SP;16/06/48;Relações Públicas;Viúvo;R$6,385;0;0;231;212;0;195;194;0
253;Wang;Peterson;Vitória da Conquista;BA;12/12/07;Relações Públicas;Divorciado;R$6,542;0;0;82;136;0;37;47;0
254;Hope;Ayala;Carapicuíba;SP;24/02/89;Relações Públicas;Divorciado;R$5,607;0;897;625;627;0;634;625;0
255;Hunter;Langley;Castanhal;Pará;13/06/46;Pesquisa e Desenvolvimento;Casado;R$9,219;518;446;451;451;518;423;421;518
256;Wylie;Head;Cabo de Santo Agostinho;Pernambuco;27/06/64;Pesquisa e Desenvolvimento;Divorciado;R$9,931;793;951;779;864;0;776;778;0
257;Jada;Hodges;Piracicaba;São Paulo;25/01/50;Jurídico;Solteiro;R$5,277;0;0;904;807;0;809;793;0
258;Colorado;Reese;Uberaba;MG;16/01/14;Serviço ao Cliente;Divorciado;R$8,425;940;908;641;633;0;615;612;0
259;Nathaniel;Valencia;Osasco;São Paulo;01/01/42;Marketing;Solteiro;R$8,837;356;296;349;224;0;229;224;0
260;Sage;Romero;Balsas;Maranhão;18/06/33;Financeiro;Divorciado;R$8,441;214;0;96;60;0;69;48;0
261;Vaughan;Wheeler;Vitória da Conquista;BA;03/07/63;Suporte Técnico;Divorciado;R$9,571;0;0;0;0;0;980;977;0
262;Dante;Sargent;Novo Hamburgo;Rio Grande do Sul;21/09/60;Serviço ao Cliente;Viúvo;R$9,682;800;0;0;813;0;768;758;0
263;Ciaran;Church;Divinópolis;Minas Gerais;08/03/43;Jurídico;Solteiro;R$7,356;537;537;537;447;537;451;443;537
264;Hilda;Moore;Mogi das Cruzes;SP;29/02/00;Serviço ao Cliente;Solteiro;R$6,463;0;0;783;784;0;813;792;0
265;Rogan;Rosales;Rio de Janeiro;Rio de Janeiro;06/08/35;Recursos Humanos;Viúvo;R$8,204;0;0;983;942;0;945;938;0
266;Kiona;Lara;Ribeirão Preto;SP;05/04/65;Financeiro;Divorciado;R$9,339;933;670;65;10;0;15;14;0
267;Idona;Davis;Ipatinga;Minas Gerais;03/01/90;Financeiro;Viúvo;R$9,453;0;0;790;708;0;698;692;0
268;Kasimir;Walker;Florianópolis;SC;18/03/90;Marketing;Solteiro;R$9,921;955;0;817;793;0;802;772;0
269;Clinton;Howell;Jundiaí;SP;16/02/13;Recursos Humanos;Divorciado;R$6,292;519;519;452;423;519;424;432;519
270;Nicholas;Flores;Montes Claros;Minas Gerais;21/11/07;Gerenciamento;Divorciado;R$7,508;0;0;788;587;0;562;557;0
271;Maxwell;Mack;Ribeirão das Neves;Minas Gerais;25/08/06;Marketing;Divorciado;R$9,236;931;0;867;838;0;845;840;0
272;Anastasia;Marshall;Feira de Santana;BA;17/08/08;Pesquisa e Desenvolvimento;Solteiro;R$9,168;0;0;372;355;0;350;343;0
273;Dakota;Lane;Mogi das Cruzes;São Paulo;21/11/49;Relações Públicas;Divorciado;R$9,111;209;0;139;111;0;111;108;0
274;Hilel;Warner;Guarapuava;PR;24/12/42;Recursos Humanos;Solteiro;R$7,941;0;0;952;896;0;840;846;0
275;Leila;Schultz;Chapecó;Santa Catarina;25/08/52;Suporte Técnico;Casado;R$9,092;0;180;308;186;0;80;77;761
276;Drew;Walsh;São João de Meriti;Rio de Janeiro;24/05/30;Marketing;Solteiro;R$6,322;0;0;98;41;0;24;20;0
277;Knox;Short;Caxias;Maranhão;21/03/34;Relações Públicas;Casado;R$5,782;545;545;545;448;545;455;450;545
278;Ian;Randall;Florianópolis;Santa Catarina;18/08/75;Jurídico;Divorciado;R$7,760;0;330;770;323;0;333;330;0
279;Vielka;Wiley;Carapicuíba;SP;02/04/94;Marketing;Viúvo;R$7,908;777;0;307;306;0;326;310;0
280;Hanae;Saunders;Betim;MG;23/05/82;Marketing;Viúvo;R$6,321;973;478;669;388;0;382;389;0
281;Martin;Fuentes;Gravataí;Rio Grande do Sul;04/05/49;Serviço ao Cliente;Divorciado;R$7,572;0;0;993;993;0;989;976;0
282;Xena;Richardson;Petrópolis;Rio de Janeiro;06/03/89;Vendas;Viúvo;R$8,133;0;0;889;836;0;835;838;0
283;Curran;Navarro;Mogi das Cruzes;São Paulo;06/03/49;Recursos Humanos;Divorciado;R$7,155;0;0;855;843;0;849;845;0
284;Ginger;Ray;Ilhéus;BA;06/04/96;Vendas;Solteiro;R$8,585;0;0;749;749;0;731;728;0
285;Gregory;King;Águas Lindas de Goiás;Goiás;30/07/91;Financeiro;Divorciado;R$5,111;532;532;532;532;532;438;435;532
286;Caleb;Bell;Guarapuava;Paraná;23/06/50;Gerenciamento;Viúvo;R$5,473;0;274;325;130;0;129;129;614
287;Daniel;Hartman;Governador Valadares;Minas Gerais;02/04/36;Recursos Humanos;Solteiro;R$6,467;0;487;633;293;0;289;293;0
288;Boris;Knox;Caucaia;CE;07/05/50;Pesquisa e Desenvolvimento;Solteiro;R$9,077;0;0;909;829;0;788;782;0
289;Aline;Peck;Mauá;SP;11/01/57;Relações Públicas;Casado;R$8,017;690;0;701;655;0;659;651;0
290;Charity;Warren;Jundiaí;São Paulo;23/09/49;Marketing;Solteiro;R$7,784;0;990;519;503;0;504;524;0
291;Callie;Ayala;Belém;Pará;07/09/05;Marketing;Viúvo;R$5,647;0;0;0;971;0;898;901;0
292;Thaddeus;Dennis;Santa Maria;Rio Grande do Sul;25/09/43;Pesquisa e Desenvolvimento;Casado;R$5,252;411;310;292;336;0;310;286;0
293;Denton;Norris;Crato;Ceará;05/02/08;Serviço ao Cliente;Casado;R$8,985;981;0;985;909;0;892;892;0
294;Keelie;Brown;Lauro de Freitas;Bahia;14/06/51;Vendas;Divorciado;R$7,461;0;0;244;215;0;203;214;0
295;Abbot;Case;Juiz de Fora;Minas Gerais;08/08/00;Marketing;Viúvo;R$8,269;0;806;587;537;0;529;527;0
296;Donovan;Potter;Barra do Corda;MA;27/05/19;Relações Públicas;Solteiro;R$6,271;166;82;81;66;0;42;38;0
297;Warren;Key;Petrolina;PE;13/08/36;Relações Públicas;Viúvo;R$7,430;0;0;626;367;0;345;334;0
298;Ginger;Pollard;Rio de Janeiro;Rio de Janeiro;15/05/38;Marketing;Viúvo;R$9,945;727;0;755;696;0;687;687;0
299;Ashely;Wilkins;Olinda;PE;24/08/71;Vendas;Solteiro;R$7,336;0;0;877;892;0;853;851;0
300;Fitzgerald;Merrill;Marabá;Pará;01/07/40;Relações Públicas;Solteiro;R$6,706;0;843;938;818;0;778;776;0
301;Hollee;Yang;Ponta Grossa;PR;06/09/60;Suporte Técnico;Casado;R$6,629;0;657;665;665;0;664;652;0
302;Fay;Kane;Juazeiro;Bahia;16/02/36;Vendas;Viúvo;R$9,270;0;0;962;801;0;781;777;0
303;Sacha;Giles;Paço do Lumiar;MA;01/04/88;Jurídico;Viúvo;R$6,971;951;0;899;687;0;655;649;0
304;Felicia;Hall;Parauapebas;PA;28/10/31;Relações Públicas;Casado;R$5,038;345;816;610;112;0;107;97;0
305;Isaiah;Hughes;Belo Horizonte;MG;04/05/37;Relações Públicas;Solteiro;R$5,986;407;0;859;402;0;399;401;0
306;Owen;Langley;Campinas;SP;17/09/43;Pesquisa e Desenvolvimento;Solteiro;R$9,588;546;518;468;452;546;467;448;546
307;Noah;Maddox;Mogi das Cruzes;São Paulo;09/02/73;Jurídico;Viúvo;R$7,890;638;0;597;593;0;600;595;0
308;Alana;Mcguire;Camaragibe;Pernambuco;05/11/31;Vendas;Viúvo;R$6,431;0;0;0;743;0;727;726;0
309;Leonard;Gibbs;Itajaí;SC;02/05/19;Pesquisa e Desenvolvimento;Viúvo;R$7,373;0;714;464;464;0;408;392;0
310;Deirdre;Gates;São João de Meriti;Rio de Janeiro;13/09/84;Pesquisa e Desenvolvimento;Solteiro;R$5,007;0;0;714;714;0;715;727;0
311;Xantha;Hardy;Mauá;SP;19/12/39;Financeiro;Divorciado;R$7,320;0;0;577;541;0;554;540;0
312;Zahir;Alvarez;Paulista;Pernambuco;12/10/62;Vendas;Casado;R$7,535;0;0;604;563;0;539;539;0
313;Beatrice;Villarreal;Montes Claros;MG;03/03/80;Serviço ao Cliente;Solteiro;R$9,240;543;543;456;457;543;459;446;543
314;Graiden;Baldwin;São João de Meriti;Rio de Janeiro;31/05/36;Jurídico;Casado;R$5,435;0;0;712;574;0;576;575;0
315;Halla;Snow;Ribeirão Preto;São Paulo;24/02/82;Marketing;Solteiro;R$6,372;0;0;994;941;0;929;932;0
316;Melvin;Oneil;Mogi das Cruzes;SP;31/05/52;Relações Públicas;Casado;R$6,118;919;0;0;881;0;877;865;0
317;Barbara;Mccarthy;Betim;Minas Gerais;11/08/37;Relações Públicas;Casado;R$6,618;0;787;953;788;0;767;764;0
318;Arsenio;Schroeder;Itabuna;Bahia;10/05/31;Relações Públicas;Viúvo;R$9,994;0;644;273;244;0;219;220;0
319;Fleur;Hutchinson;Contagem;Minas Gerais;17/01/34;Recursos Humanos;Divorciado;R$9,142;0;0;846;745;0;735;736;0
320;Carl;Hodges;Nova Iguaçu;RJ;05/09/82;Recursos Humanos;Divorciado;R$8,657;964;256;153;100;0;89;81;0
321;Felicia;Walters;Rio Grande;RS;17/05/62;Vendas;Casado;R$9,555;93;0;245;142;0;94;86;0
322;Sara;Lara;Caxias do Sul;Rio Grande do Sul;26/11/58;Recursos Humanos;Viúvo;R$8,690;0;0;761;700;0;672;676;0
323;Camden;Ewing;Canoas;Rio Grande do Sul;20/09/15;Recursos Humanos;Casado;R$9,787;371;602;142;251;0;100;106;0
324;Melyssa;Trevino;Ipatinga;MG;30/08/03;Suporte Técnico;Casado;R$8,521;530;530;530;443;530;434;431;530
325;Talon;Combs;Olinda;PE;29/12/80;Financeiro;Divorciado;R$9,702;0;0;367;331;0;318;292;0
326;Ferdinand;Calderon;Juazeiro do Norte;Ceará;23/03/46;Recursos Humanos;Divorciado;R$9,602;0;0;946;827;0;827;821;0
327;Brett;Salinas;Montes Claros;MG;26/02/44;Pesquisa e Desenvolvimento;Casado;R$6,930;0;970;414;213;0;161;158;0
328;Leo;Black;Ribeirão Preto;São Paulo;21/02/69;Jurídico;Divorciado;R$5,438;0;0;132;68;0;66;66;0
329;Colby;Mendez;Paranaguá;Paraná;15/06/36;Relações Públicas;Viúvo;R$7,763;0;0;937;195;0;181;186;0
330;Wade;Lancaster;Ponta Grossa;Paraná;16/10/83;Recursos Humanos;Solteiro;R$8,037;0;0;133;121;0;99;101;0
331;Roary;Stevens;Jundiaí;SP;16/12/64;Vendas;Viúvo;R$8,870;347;0;401;327;0;315;318;0
332;Shay;Carver;Cametá;PA;03/07/51;Suporte Técnico;Viúvo;R$6,043;0;0;0;0;0;959;955;0
333;Norman;Preston;Feira de Santana;Bahia;16/10/91;Financeiro;Divorciado;R$6,811;0;0;0;775;0;725;721;0
334;Drake;Carson;Campinas;SP;24/12/48;Financeiro;Viúvo;R$8,984;906;0;109;42;0;47;42;0
335;Bryar;Higgins;São José dos Pinhais;PR;15/01/10;Serviço ao Cliente;Casado;R$8,431;0;387;102;18;0;14;6;0
336;Kenyon;Preston;Novo Hamburgo;Rio Grande do Sul;09/08/57;Recursos Humanos;Casado;R$8,704;592;592;509;534;592;519;494;592
337;Steel;Atkins;Salvador;Bahia;17/09/76;Financeiro;Divorciado;R$5,517;0;0;0;851;0;864;852;0
338;Ferris;Higgins;Piracicaba;São Paulo;16/04/37;Pesquisa e Desenvolvimento;Divorciado;R$5,441;0;871;417;392;0;389;390;0
339;Charlotte;Hewitt;Londrina;Paraná;17/06/69;Gerenciamento;Casado;R$7,188;0;0;0;937;0;879;883;0
340;Kelsie;Holden;Contagem;MG;14/08/12;Gerenciamento;Solteiro;R$6,813;562;562;505;502;562;474;464;562
341;Hanae;Branch;Canoas;RS;07/08/76;Marketing;Divorciado;R$5,616;0;0;0;996;0;996;974;0
342;Christen;Larson;Mauá;SP;30/04/44;Pesquisa e Desenvolvimento;Divorciado;R$7,451;0;0;944;947;0;918;921;0
343;Nolan;Peck;Mauá;São Paulo;14/10/67;Pesquisa e Desenvolvimento;Solteiro;R$9,835;577;497;523;491;577;480;488;577
344;James;Welch;Montes Claros;Minas Gerais;19/08/92;Serviço ao Cliente;Viúvo;R$8,482;514;514;443;426;514;431;415;514
345;Zeph;Holland;Ribeirão Preto;SP;21/09/89;Vendas;Divorciado;R$5,414;0;777;366;341;0;348;341;0
346;Tatyana;Pollard;Balsas;Maranhão;17/02/95;Jurídico;Solteiro;R$8,702;0;685;602;594;0;591;593;0
347;Scott;Mckenzie;Piracicaba;SP;20/02/36;Relações Públicas;Casado;R$7,603;0;845;792;799;0;787;785;0
348;Zephr;Galloway;Campos dos Goytacazes;RJ;08/05/95;Vendas;Viúvo;R$5,646;516;516;516;481;516;417;420;516
349;Hillary;Rose;Paço do Lumiar;MA;02/11/03;Relações Públicas;Divorciado;R$9,154;0;0;0;940;0;901;904;0
350;Gay;Greer;Nova Iguaçu;RJ;19/09/34;Relações Públicas;Viúvo;R$6,910;0;836;210;206;0;193;193;0
351;Connor;Hodges;Olinda;PE;30/04/53;Serviço ao Cliente;Casado;R$9,127;0;681;271;285;0;270;259;0
352;Travis;Weaver;Luziânia;GO;02/11/80;Relações Públicas;Divorciado;R$8,286;0;0;988;958;0;951;952;0
353;Karly;Christensen;Barra do Corda;MA;30/05/35;Serviço ao Cliente;Divorciado;R$5,466;628;0;614;454;0;398;403;0
354;Montana;Shannon;Osasco;São Paulo;18/03/52;Suporte Técnico;Viúvo;R$9,503;0;811;768;701;0;688;685;0
355;Addison;Mccarty;Itabuna;BA;11/03/65;Relações Públicas;Solteiro;R$7,030;0;0;215;261;0;213;203;0
356;Evelyn;Torres;Lauro de Freitas;BA;15/09/67;Relações Públicas;Viúvo;R$5,050;845;717;832;608;0;607;605;0
357;Yetta;Barnes;Itajaí;Santa Catarina;09/08/49;Marketing;Viúvo;R$7,476;486;604;347;308;0;258;250;0
358;Genevieve;Andrews;Osasco;São Paulo;30/12/65;Pesquisa e Desenvolvimento;Casado;R$5,755;0;646;566;520;0;518;518;0
359;Chadwick;Estes;Porto Alegre;RS;07/04/69;Gerenciamento;Casado;R$8,788;0;0;913;913;0;885;884;0
360;Deanna;Meyer;Açailândia;Maranhão;02/10/37;Relações Públicas;Casado;R$5,283;0;0;861;821;0;772;779;0
361;Harlan;Cannon;Porto Alegre;RS;16/06/02;Relações Públicas;Casado;R$8,164;555;555;555;461;555;465;458;555
362;Isaac;Hodges;Luziânia;Goiás;01/01/72;Suporte Técnico;Divorciado;R$9,204;912;792;854;704;0;682;690;0
363;Alec;Melton;Camaçari;BA;04/11/92;Jurídico;Casado;R$9,336;522;522;489;489;522;428;423;522
364;Angelica;Nelson;Camaçari;BA;15/07/92;Relações Públicas;Casado;R$9,999;706;635;354;315;0;313;315;0
365;Elijah;Peck;Mogi das Cruzes;São Paulo;02/11/13;Financeiro;Viúvo;R$9,776;597;577;578;501;597;532;505;597
366;Scarlett;Oneill;Governador Valadares;Minas Gerais;12/06/72;Pesquisa e Desenvolvimento;Casado;R$5,697;0;967;250;225;0;211;185;0
367;Megan;Monroe;Jundiaí;SP;20/05/96;Suporte Técnico;Divorciado;R$5,035;552;552;475;459;552;457;456;552
368;Vaughan;Gonzales;Santa Maria;Rio Grande do Sul;22/07/73;Suporte Técnico;Solteiro;R$7,543;534;534;442;442;534;440;437;534
369;Whilemina;Wise;Gravataí;Rio Grande do Sul;06/09/48;Marketing;Divorciado;R$7,367;0;989;960;932;0;927;925;0
370;Ryan;Daniels;Uberlândia;Minas Gerais;27/02/06;Recursos Humanos;Casado;R$7,254;0;0;447;348;0;327;321;0
371;Madaline;Gonzalez;Maringá;PR;03/07/75;Pesquisa e Desenvolvimento;Divorciado;R$9,673;0;909;84;84;0;20;23;0
372;Ina;Chavez;São Gonçalo;RJ;09/07/49;Gerenciamento;Divorciado;R$6,807;0;0;0;975;0;970;973;988
373;Adena;Shelton;Mauá;São Paulo;04/11/08;Relações Públicas;Viúvo;R$9,203;0;203;178;132;0;122;120;0
374;Gillian;Fowler;Maracanaú;CE;19/03/09;Suporte Técnico;Divorciado;R$7,522;0;0;866;776;0;783;773;0
375;Martin;Rodriguez;Belo Horizonte;MG;26/04/66;Relações Públicas;Divorciado;R$8,169;974;481;364;381;0;306;307;378
376;Eve;Francis;Goiânia;GO;18/03/33;Recursos Humanos;Casado;R$9,549;0;0;0;0;0;978;970;0
377;Mannix;Torres;Juiz de Fora;MG;14/11/83;Suporte Técnico;Casado;R$8,988;0;826;0;746;0;748;718;0
378;Nell;Herrera;Aparecida de Goiânia;Goiás;17/12/37;Marketing;Divorciado;R$5,883;0;679;200;228;0;194;188;0
379;Yasir;Potter;Timon;Maranhão;26/06/62;Jurídico;Viúvo;R$5,272;934;0;673;342;0;349;344;0
380;Anjolie;Boyd;Ribeirão Preto;São Paulo;07/06/05;Jurídico;Viúvo;R$6,662;0;631;259;163;0;166;161;0
381;Cyrus;Mosley;Mogi das Cruzes;São Paulo;06/05/03;Marketing;Viúvo;R$7,875;0;0;327;243;0;249;236;0
382;Malcolm;Cooley;Divinópolis;MG;28/02/59;Serviço ao Cliente;Viúvo;R$9,997;0;702;225;48;0;43;40;0
383;Carissa;Kline;Belford Roxo;Rio de Janeiro;20/11/42;Gerenciamento;Divorciado;R$9,199;0;371;321;201;0;199;198;0
384;Mollie;Whitaker;Ribeirão Preto;São Paulo;11/07/93;Suporte Técnico;Casado;R$9,090;460;0;339;349;0;342;342;0
385;Rhonda;Cook;São Gonçalo;Rio de Janeiro;17/01/13;Vendas;Casado;R$8,884;226;0;151;92;0;55;43;713
386;Kadeem;Robbins;Ribeirão Preto;São Paulo;17/08/60;Suporte Técnico;Divorciado;R$6,450;0;0;593;558;0;547;547;0
387;Clinton;Ewing;Balsas;Maranhão;11/01/31;Pesquisa e Desenvolvimento;Solteiro;R$9,606;885;0;687;657;0;604;603;0
388;Wilma;Kent;Marabá;Pará;12/11/81;Relações Públicas;Solteiro;R$9,305;0;0;164;164;0;151;152;0
389;Camden;Kline;Petrópolis;RJ;07/07/72;Serviço ao Cliente;Solteiro;R$5,663;649;0;481;416;0;378;372;0
390;Jolie;Bell;Niterói;RJ;16/08/45;Marketing;Divorciado;R$9,919;708;0;895;698;0;700;704;0
391;Ginger;Serrano;Ilhéus;Bahia;08/01/30;Marketing;Casado;R$8,729;685;719;482;354;0;360;338;0
392;Nathaniel;Frost;Lauro de Freitas;Bahia;21/06/73;Suporte Técnico;Divorciado;R$8,053;0;0;385;407;0;359;358;697
393;Byron;Juarez;Carapicuíba;São Paulo;27/12/77;Marketing;Viúvo;R$6,683;0;0;739;738;0;739;732;0
394;Ezra;Sanders;Montes Claros;Minas Gerais;21/09/01;Pesquisa e Desenvolvimento;Casado;R$6,639;0;884;886;790;0;806;801;0
395;Uriah;Hendrix;Cajazeiras;PB;05/04/18;Gerenciamento;Casado;R$7,759;125;0;266;145;0;39;41;62
396;Dorothy;Salazar;Jundiaí;SP;02/10/47;Marketing;Solteiro;R$7,634;0;0;169;135;0;130;136;0
397;Brynn;Hall;Governador Valadares;Minas Gerais;08/09/87;Marketing;Solteiro;R$5,300;0;0;972;834;0;834;818;0
398;Nash;Payne;Paulista;PE;19/05/32;Serviço ao Cliente;Divorciado;R$8,832;329;700;214;223;0;172;168;0
399;Yoko;Rhodes;Maranguape;Ceará;03/12/98;Marketing;Solteiro;R$8,767;783;744;827;752;0;695;709;0
400;Sydnee;Gibbs;Itabuna;Bahia;24/03/39;Financeiro;Divorciado;R$6,265;0;0;0;929;0;944;931;0
401;Melvin;Emerson;Piracicaba;São Paulo;18/02/95;Gerenciamento;Solteiro;R$6,708;0;0;977;920;0;939;927;0
402;Emerald;Graham;Rio de Janeiro;Rio de Janeiro;09/07/61;Vendas;Viúvo;R$6,637;0;0;935;933;0;934;934;0
403;Mara;Watson;Ribeirão das Neves;Minas Gerais;16/01/30;Vendas;Divorciado;R$6,028;0;636;358;358;0;354;356;0
404;Eleanor;Cline;Piracicaba;SP;01/12/75;Vendas;Divorciado;R$7,711;0;0;784;767;0;775;768;0
405;Quinn;Page;Piracicaba;SP;24/08/87;Vendas;Divorciado;R$9,872;0;750;541;519;0;533;519;0
406;Vivian;Savage;Salvador;Bahia;20/03/36;Serviço ao Cliente;Casado;R$7,739;0;684;261;77;0;54;49;0
407;Idola;Hughes;Olinda;PE;26/06/62;Vendas;Viúvo;R$9,432;0;391;291;291;340;294;289;0
408;Doris;Petersen;Belford Roxo;RJ;20/12/61;Pesquisa e Desenvolvimento;Viúvo;R$8,267;0;0;0;990;0;988;982;0
409;Brendan;Byers;Cabo de Santo Agostinho;Pernambuco;10/03/41;Relações Públicas;Solteiro;R$7,624;0;0;0;1000;0;994;999;0
410;Vance;Hicks;São João de Meriti;Rio de Janeiro;01/09/30;Gerenciamento;Viúvo;R$5,113;796;0;182;196;0;113;100;0
411;Josiah;Klein;Foz do Iguaçu;PR;23/11/46;Serviço ao Cliente;Viúvo;R$6,002;0;864;0;736;0;745;739;0
412;Echo;Good;Belo Horizonte;Minas Gerais;21/09/62;Recursos Humanos;Divorciado;R$5,271;0;808;391;377;0;365;365;0
413;Yolanda;Mckee;Anápolis;Goiás;07/08/91;Relações Públicas;Viúvo;R$7,636;352;365;113;187;0;93;98;0
414;Alika;Reese;Jundiaí;São Paulo;01/09/80;Gerenciamento;Divorciado;R$9,551;0;0;926;919;0;917;909;0
415;Tatyana;Pollard;Balsas;Maranhão;17/02/95;Jurídico;Solteiro;R$8,702;588;588;531;494;588;491;493;588
416;Raja;Hinton;Diadema;São Paulo;03/09/33;Financeiro;Viúvo;R$9,425;0;0;618;597;0;597;597;0
417;Joelle;Williamson;Castanhal;Pará;26/04/32;Suporte Técnico;Casado;R$6,368;0;1000;518;518;0;530;513;0
418;MacKensie;Tucker;Gravataí;Rio Grande do Sul;12/02/70;Vendas;Casado;R$6,737;0;0;924;907;0;914;902;0
419;Jermaine;Barnes;Paulista;PE;27/10/75;Pesquisa e Desenvolvimento;Solteiro;R$8,065;0;0;631;626;0;608;608;0
420;Karen;Watts;Recife;Pernambuco;31/12/46;Financeiro;Solteiro;R$6,894;343;0;242;129;0;137;126;0
